group,subset,method_key,method,tree_idx,normalized_rf,bsd
Amphibians,1,original,Proposed,1,0.10416666666666667,0.28032165744293513
Amphibians,1,original,Proposed,2,0.125,0.42570404402684253
Amphibians,1,original,Proposed,3,0.10416666666666667,0.2921819459759178
Amphibians,1,original,Proposed,4,0.10416666666666667,0.2799441323177325
Amphibians,1,original,Proposed,5,0.0625,0.28574451874118884
Amphibians,1,original,Proposed,6,0.125,0.4144719057961322
Amphibians,1,original,Proposed,7,0.125,0.30134649245338935
Amphibians,1,original,Proposed,8,0.0625,0.2628282765445024
Amphibians,1,original,Proposed,9,0.14583333333333334,0.3633819553941163
Amphibians,1,original,Proposed,10,0.14583333333333334,0.272974573078807
Amphibians,1,original,Proposed,11,0.14583333333333334,0.3469540457943458
Amphibians,1,original,Proposed,12,0.10416666666666667,0.2769213167187214
Amphibians,1,original,Proposed,13,0.10416666666666667,0.24324799938513839
Amphibians,1,original,Proposed,14,0.10416666666666667,0.29526569277488507
Amphibians,1,original,Proposed,15,0.14583333333333334,0.27555807488325706
Amphibians,1,original,Proposed,16,0.2708333333333333,0.2756011970944523
Amphibians,1,original,Proposed,17,0.125,0.2750444720587033
Amphibians,1,original,Proposed,18,0.10416666666666667,0.2680546573572968
Amphibians,1,original,Proposed,19,0.1875,0.2916177292350192
Amphibians,1,original,Proposed,20,0.2708333333333333,0.2499785392294344
Amphibians,1,original,Proposed,21,0.10416666666666667,0.2174272038836945
Amphibians,1,original,Proposed,22,0.16666666666666666,0.3095362490314998
Amphibians,1,original,Proposed,23,0.14583333333333334,0.20008604549008843
Amphibians,1,original,Proposed,24,0.10416666666666667,0.256309237649492
Amphibians,1,original,Proposed,25,0.10416666666666667,0.23020086496039216
Amphibians,1,original,Proposed,26,0.1875,0.4438230778975024
Amphibians,1,original,Proposed,27,0.10416666666666667,0.17015331458618874
Amphibians,1,original,Proposed,28,0.1875,0.3499416020295262
Amphibians,1,original,Proposed,29,0.22916666666666666,0.4245690101601475
Amphibians,1,original,Proposed,30,0.10416666666666667,0.19100662905291646
Amphibians,1,at_root,Root Attach,1,0.7291666666666666,0.2796605412601373
Amphibians,1,at_root,Root Attach,2,0.7083333333333334,0.34825194618491695
Amphibians,1,at_root,Root Attach,3,0.875,0.35010031836151256
Amphibians,1,at_root,Root Attach,4,0.8541666666666666,0.3428724662303034
Amphibians,1,at_root,Root Attach,5,0.7083333333333334,0.27382005414985905
Amphibians,1,at_root,Root Attach,6,0.875,0.4634511708719981
Amphibians,1,at_root,Root Attach,7,0.6041666666666666,0.3021040649078553
Amphibians,1,at_root,Root Attach,8,0.7916666666666666,0.3200445643875028
Amphibians,1,at_root,Root Attach,9,0.7708333333333334,0.32708889115832485
Amphibians,1,at_root,Root Attach,10,0.875,0.352417960783663
Amphibians,1,at_root,Root Attach,11,0.9583333333333334,0.38036159063880354
